ID,name
1,Dream Key
2,Corruption Shield
3,Storm Horn
4,Rogue Mask
5,Liberty Instrument
6,Boots of Petrification
7,Crown of Riches
8,Skull of Massacres
9,Ring of Nightmares
10,Mantle of Transmutation
11,Demonic Chalice
12,Bravery Cylinder
13,Evil Scroll
14,Judging Seal
15,Restoration Statue
16,Sandals of Depravity
17,Fruit of Repelling
18,Ichor of Protection
19,Ark of Pestilence
20,Sword of Speed
21,Equinox Band
22,Scourge Chest
23,Hallowed Letters
24,Insanity Ark
25,Storm Sword
26,Gem of Sight
27,Canopic Chest of Prosperity
28,Tablet of Acrimony
29,Canopic Chest of the Gods
30,Hand of Seduction
31,Obsidian Seal
32,Dominion Amulet
33,Extinction Mask
34,Immunity Gem
35,Malediction Shard
36,Circlet of Guardians
37,Shard of Lightning
38,Tiara of the Crux
39,Circlet of Seduction
40,Staff of Scorching
41,Gold Monolith
42,Finality Horn
43,Aurora Chest
44,Black Magic Fountain
45,Paragon Letters
46,Gauntlet of Absorbing
47,Letters of Dementia
48,Fleece of Storms
49,Ring of Greed
50,Mirror of Specters
51,Holy Jar
52,Hero's Ark
53,Destiny's Cube
54,Mending Chalice
55,Spite Mask
56,Tiara of Protection
57,Mask of Corruption
58,Stone of Storms
59,Letters of Silence
60,Hand of Mending
61,Hatred's Runes
62,Equinox Feather
63,Thaumaturgy Book
64,Torture Stone
65,Gold Amulet
66,Inscriptions of Teleportation
67,Staff of Shadows
68,Inscriptions of Invisibility
69,Sandals of Curses
70,Gem of Liberation
71,Temptation Root
72,Mending Gauntlet
73,Divinity's Sword
74,Termination Sandals
75,Dominion Box
76,Ark of Lightness
77,Pillar of Ice
78,Fountain of Vice
79,Ichor of Scorching
80,Book of Loyalty
81,Teleporting Door
82,Seduction Grail
83,Philosopher's Band
84,Burning Ichor
85,Tribute Fruit
86,Tablet of Remedies
87,Grimoire of Torture
88,Horn of the Oracle
89,Runes of Immobilizing
90,Root of Sentience
91,Corruption Statue
92,Transmutation Horn
93,Maniacal Crown
94,Malevolence Goblet
95,Black Magic Arch
96,Necklace of Sanctity
97,Ring of Riddles
98,Monolith of Youth
99,Cylinder of Delirium
100,Seal of Vengeance
